"1","Brihad Bhagavatamrita","BB"
"2","Bhagavad Gita","BG"
"3","Srimad Bhagavad Gita","SBG"
"4","Braja Mandala Parikrama","BMP"
"5","Bhajana Rahasya","BR"
"6","Bhakti Rasamrita Sindhu","BRS"
"7","Bhakti Rasamrita Sindhu Bindhu","BRSB"
"8","Brahma Samhita","BS"
"9","Bhakti Tattva Viveka","BTV"
"10","Caitanya Bhagavata","CB"
"11","Caitanya Caritamrita","CC"
"12","Caitanya Caritamrita - Adi Lila","CC Adi"
"13","Caitanya Caritamrita - Madhya Lila","CC Mad"
"14","Caitanya Caritamrita - Antya Lila","CC Antya"
"15","Gita Govinda","GG"
"16","Gaudiya Kanthahara","GKH"
"17","Hari Bhakti Vilasa","HBV"
"18","Jaiva Dharma","JD"
"19","Kirtaniyah Sada Harih","KSD"
"20","Madhurya Kadambini","MK"
"21","Manah Siksa","MS"
"22","Origin of Ratha Yatra","ORY"
"23","Prapanna Jivanamritam","PJ"
"24","Prema Samputa","PS"
"25","Prabandha Pancakam","PP"
"26","Radha Rasa Sudha Nidhi","RRSN"
"27","Srimad Bhagavatam","SB"
"28","Sri Gaudiya Giti Guccha","SGGG"
"29","Siksastaka","SS"
"30","Venu Gita","VG"
"31","Vilapa Kusumanjalih","VK"
"32","Upadesamrita","Upad."
"33","Adi Purana","ADIP"
"34","Aditya Purana","ADTY"
"35","Amnaya Sutra","AMNS"
"36","Ananta Samhita","ANTS"
"37","Atma Nivedana","ATNV"
"38","Bhagavat Sandarbha","BHGS"
"39","Bhajahu Re Mana","BHRM"
"40","Bhakti Ratnakara","BHRK"
"41","Bhakti Sandarbha","BHSN"
"42","Bhavartha Dipika","BHDI"
"43","Bhavishya Purana","BHVP"
"44","Brahmanda Purana","BRMP"
"45","Brihad Aranyaka Upanishad","BAUP"
"46","Brihad Gautamiya Tantra","BGTN"
"47","Brihad Vishnu Purana","BVSP"
"48","Brihan Naradiya Purana","BNRP"
"49","Brihat Bhakti Tattva Sara","BBTS"
"50","Caitanya Candramrita","CCAM"
"51","Caitanya Candrodaya Nataka","CCNT"
"52","Caitanya Mangala","CMGL"
