scripture_id,scripture_name,new_scripture,new_scripture_id
13,Caitanya Caritamrita - Madhya Lila,Caitanya Caritamrita,11
12,Caitanya Caritamrita - Adi Lila,Caitanya Caritamrita,11
109,Padma Purana,Purana,160
14,Caitanya Caritamrita - Antya Lila,Caitanya Caritamrita,11
5,Bhajana Rahasya,Other Scripture,162
41,Bhakti Sandarbha,Other Scripture,162
35,Amnaya Sutra,Other Scripture,162
50,Caitanya Candramrita,Caitanya Caritamrita,11
140,Svetasvatara Upanishad,Upanishad,161
55,Chandogya Upanishad,Upanishad,161
99,Mundaka Upanishad,Upanishad,161
102,Narada Pancaratra,Upanishad,161
115,Prema Bhakti Chandrika,Other Scripture,162
131,Skanda Purana,Purana,160
153,Vishnu Purana,Purana,160
74,Hari Bhakti Sudhodaya,Purana,160
76,Isopanishad,Upanishad,161
83,Katha Upanishad,Upanishad,161
94,Mahabharata,Purana,160
112,Paramatma Sandarbha,Other Scripture,162
116,Prema Vivarta,Other Scripture,162
28,Sri Gaudiya Giti Guccha,need to delete,
48,Brihan Naradiya Purana,Purana,160
61,Garuda Purana,Purana,160
15,Gita Govinda,Other Scripture,162
72,Gurvastakam,need to delete,
97,Mukunda Mala Stotra,Other Scripture,162
103,Naradiya Purana,Purana,160
127,Sanat Kumara Samhita,Other Scripture,162
152,Vidagdha Madhava,Other Scripture,162
155,Vraja Vilasa Stava,Other Scripture,162
158,Yamuna Stotram,Other Scripture,162
33,Adi Purana,Purana,160
38,Bhagavat Sandarbha,Other Scripture,162
51,Caitanya Candrodaya Nataka,Other Scripture,162
59,Gandharva Samprarthanastakam,Other Scripture,162
85,Krama Dipika,Other Scripture,162
87,Krishna Nama Dhare Kata Bala,Other Scripture,162
88,Krishna Sandarbha,Other Scripture,162
92,Laghu Bhagavatamrita,Other Scripture,162
93,Lalita Madhava,Other Scripture,162
95,Mahajana Racita Gita,Other Scripture,162
98,Mukunda Muktavali,Other Scripture,162
101,Namastaka,Other Scripture,162
105,Navadvipa Sataka,Other Scripture,162
118,Radha Kripa Kataksha Stava Raja,Other Scripture,162
120,Radha Prarthana,Other Scripture,162
123,Rig Veda,Other Scripture,162
137,Sva Sankalpa Prakasa Stotra,Other Scripture,162
138,Svarupa Damodara's Diary,Other Scripture,162
144,Tri Bhangi Pancakam,Other Scripture,162
145,Ujjvala Nilamani,Other Scripture,162
151,Vedanta Sutra,Other Scripture,162
30,Venu Gita,Srimad Bhagavatam,27
154,Vishnu Yamala,Other Scripture,162
157,Vrindavana Mahimamrita,Other Scripture,162
34,Aditya Purana,Purana,160
36,Ananta Samhita,Other Scripture,162
37,Atma Nivedana,Other Scripture,162
39,Bhajahu Re Mana,need to delete,
40,Bhakti Ratnakara,Other Scripture,162
9,Bhakti Tattva Viveka,Other Scripture,162
42,Bhavartha Dipika,Other Scripture,162
43,Bhavishya Purana,Purana,160
44,Brahmanda Purana,Purana,160
45,Brihad Aranyaka Upanishad,Upanishad,161
46,Brihad Gautamiya Tantra,Other Scripture,162
47,Brihad Vishnu Purana,Purana,160
49,Brihat Bhakti Tattva Sara,Other Scripture,162
52,Caitanya Mangala,Other Scripture,162
53,Caitanya Manjusa,Other Scripture,162
54,Cauragraganya Purusastakam,Krishna Karanmrta,86
56,Dana Keli Cintamani,Other Scripture,162
58,Gadadharastakam,need to delete,
60,Garga Samhita,Other Scripture,162
16,Gaudiya Kanthahara,Other Scripture,162
62,Gaura Ganoddesadipika,Other Scripture,162
63,Gauranga Balite Habe,need to delete,
64,Gautamiya Tantra,Other Scripture,162
65,Gita Mala,Other Scripture,162
66,Gitavali,Other Scripture,162
67,Gopala Sahasra Nama,Other Scripture,162
68,Gopinatha,Other Scripture,162
69,Govardhana Vasa Prarthana,Other Scripture,162
70,Guru Carana Padma,need to delete,
71,Gurudeva Krpa Bindu Diya,need to delete,
73,Hamsaduta,Other Scripture,162
75,Hitopadesa,Other Scripture,162
77,Jagannatha Vallabha Nataka,Other Scripture,162
78,Jaladakhyana Samhita,Other Scripture,162
79,Je Anila Prema Dhana,need to delete,
80,Jiva Jago,need to delete,
81,Kali Kukkura Kadana,need to delete,
82,Kali Santarana Upanishad,Upanishad,161
84,Katyayana Samhita,Other Scripture,162
89,Krishna Virahe,Other Scripture,162
90,Krpa Kara Vaishnava Thakura,need to delete,
91,Kunja Bihari Astakam,need to delete,
96,Mukta Carita,Other Scripture,162
100,Nama Sankirtana,Other Scripture,162
104,Navadvipa Dhama Mahatmya,Other Scripture,162
106,Nikunja Rahasya Stava,Other Scripture,162
107,Nityananda Nistha Prarthana,Other Scripture,162
108,Nityanandastakam,need to delete,
111,Pancaratra Pradipa,Other Scripture,162
113,Paurnamasi Devi Pranama,Other Scripture,162
114,Prameya Ratnavali,Other Scripture,162
23,Prapanna Jivanamritam,Other Scripture,162
117,Radha Bhajana Mahima,Other Scripture,162
119,Radha Krishna Vijnapti,Other Scripture,162
121,Radhika Carana Padma,Other Scripture,162
122,Radhikastakam,need to delete,
124,Rupa Manjari Pada,Other Scripture,162
125,Sad Anga Saranagati,Other Scripture,162
126,Sammohana Tantra,Other Scripture,162
128,Sandilya Bhakti Sutra,Other Scripture,162
129,Saranagati,Other Scripture,162
130,Sata Nama Stotra,Other Scripture,162
132,Sri Radha Nistha,Other Scripture,162
133,Stava Kalpadruma,Other Scripture,162
136,Stotra Ratna,Other Scripture,162
139,Svarupa Damodara's Kadaca,Other Scripture,162
141,Taittiriya Upanishad,Upanishad,161
142,Tattva Sandarbha,Other Scripture,162
143,Thakura Vaishnava Pada,need to delete,
146,Uttara Gopala Tapani Upanishad,Upanishad,161
147,Vaishnava Tantra,Other Scripture,162
148,Vaishvanara Samhita,Other Scripture,162
149,Vamana Kalpa,Other Scripture,162
150,Varaha Purana,Purana,160
156,Vrinda Devi Astakam,need to delete,
159,Yamunastakam,need to delete,
4,Braja Mandala Parikrama,n/a,
18,Jaiva Dharma,n/a,
19,Kirtaniyah Sada Harih,n/a,
20,Madhurya Kadambini,n/a,
22,Origin of Ratha Yatra,n/a,
25,Prabandha Pancakam,n/a,
24,Prema Samputa,n/a,
