id,category,slokamrtam_reference,sloka_title,sloka_text,scripture_reference,word_by_word_meaning,translation
1,Maṅgalācaraṇa,0.1,,"vande 'haṁ śrī-guroḥ śrī-yuta-pada-kamalaṁ śrī-gurūn vaiṣṇavāṁś ca
 śrī-rūpaṁ sāgrajātaṁ saha-gaṇa-raghunāthānvitaṁ taṁ sa-jīvam
 sādvaitaṁ sāvadhūtaṁ parijana-sahitaṁ kṛṣṇa-caitanya-devaṁ
 śrī-rādhā-kṛṣṇa-pādān saha-gaṇa-lalitā-śrī-viśākhānvitāṁś ca",,"vande—offer my respectful obeisances; aham—I; śrī-guroḥ—of my spiritual master; śrī-yuta-pada-kamalam—unto the opulent lotus feet; śrī-gurūn—unto the spiritual masters; vaiṣṇavān—unto all Vaiṣṇavas; ca—and; śrī-rūpam—unto Śrīla Rūpa Gosvāmī; sa-agra-jātam—with his elder brother, Śrī Sanātana Gosvāmī; saha-gaṇa-raghunātha-anvitam—with Raghunātha dāsa Gosvāmī and his associates; tam—unto him; sa-jīvam—with Jīva Gosvāmī; sa-advaitam—with Advaita Ācārya; sa-avadhūtam—with Lord Nityānanda; parijana-sahitam—and with all the other associates; kṛṣṇa-caitanya-devam—unto Lord Śrī Kṛṣṇa Caitanya Mahāprabhu; śrī-rādha-kṛṣṇa-pādān—unto the lotus feet of Rādhā and Kṛṣṇa; saha-gana—with associates; lalitā-śrī-viśākhā-anvitān—accompanied by Lalitā and Śrī Viśākhā; ca—also.","I offer praṇāma to the lotus feet of Śrī Gurudeva (who includes śrī dīkṣā-guru and bhajana śikṣā-guru), guru-varga (our entire disciplic succession) and all other Vaiṣṇavas, to Śrī Rūpa Gosvāmī, his elder brother Śrī Sanātana Gosvāmī, Śrī Raghunātha Dāsa Gosvāmī, Jīva Gosvāmī and their associates, to Śrī Advaita Prabhu, Śrī Nityānanda Prabhu, Śrī Kṛṣṇa Caitanya Mahāprabhu and His associates, and to the lotus feet of Śrī Rādhā and Kṛṣṇa accompanied by Śrī Lalitā and Viśākhā and all the other sakhīs."
2,Maṅgalācaraṇa,0.2,Samasta Praṇāma,"gurave gauracandrāya rādhikāyai tadālaye
 kṛṣṇāya kṛṣṇa-bhaktāya tad-bhaktāya namo namaḥ",,gurave—unto Śrī Guru; gauracandrāya—unto Gauracandra; rādhikāyai—unto Śrīmatī Rādhikā; tadālaye—unto Her pastime places such as Śrī Vṛndāvana (or Her associates); kṛṣṇāya—unto Kṛṣṇa; kṛṣṇa-bhaktāya—unto Kṛṣṇa's devotees; tad-bhaktāya—unto the devotees of the devotees of Kṛṣṇa; namo namaḥ—I offer my obeisances time and again.,"I offer my obeisances unto Śrī Gurudeva, Śrī Gauracandra, Śrīmatī Rādhikā and Her associates, Śrī Kṛṣṇa and His devotees, and to all Vaiṣṇavas."
3,Maṅgalācaraṇa,0.3,Śrī Guru Praṇāma,"ajñāna-timirāndhasya jñānāñjana-śalākayā
 cakṣur unmīlitaṁ yena tasmai śrī-gurave namaḥ",Śrī Prema-bhakti-candrikā,ajñāna—of ignorance; timira—by the darkness; andhasya—of one who was blinded; jñāna-añjana-by the ointment of spiritual knowledge; śalākayā-a medical instrument used in treating cataracts; cakṣuḥ-eyes; unmīlitam-were opened; yena-by whom; tasmai-unto him; śrī-gurave-unto my spiritual master; namaḥ-obeisances.,"O Gurudeva, you are so merciful. I offer my humble obeisances unto you and I pray from the core of my heart that, with the torchlight of divine knowledge, you open my eyes that have been blinded by the darkness of ignorance."
4,Maṅgalācaraṇa,0.18,Śrī Sambandhādhideva Vandanā (glorification),"jayatāṁ suratau paṅgor mama manda-mater gatī
 mat-sarvasva-padāmbhojau rādhā-madana-mohanau",CC Ādi 1.15,"jayatām—all glory to; su-ratau—most merciful, or attached in conjugal love; paṅgoḥ—of one who is lame; mama—of me; manda-mateḥ—foolish; gatī—refuge; mat—my; sarva-sva—everything; pada ambhojau—whose lotus feet; rādhā-madana-mohanau—Rādhā who enchants the enchanter of Cupid (Madana-mohana).","All glories to the all-merciful Śrī Rādhā-Madana-Mohana! Although I am lame, foolish and devoid of intelligence, Your lotus feet are my refuge and my everything!"
5,Maṅgalācaraṇa,0.19,Śrī Abhidheyādhideva Dhyāna (meditation),"dīvyad-vṛndāraṇya-kalpa-drumādhaḥ
 śrīmad-ratnāgāra-siṁhāsana-sthau
 śrīmad-rādhā-śrīla-govinda-devau
 preṣṭhālībhiḥ sevyamānau smarāmi",CC Ādi 1.16,dīvyat—shining; vṛndā-araṇya—in the forest of Vṛndā-devī; kalpa-druma—desire tree; adhaḥ—beneath; śrīmat—most beautiful; ratna-āgāra—in a temple of jewels; siṁha-āsana-sthau—sitting on a throne; śrīmat—very beautiful; rādhā—Śrīmatī Rādhikā; śrīla-govinda-devau—and Śrī Govindadeva; preṣṭha-ālībhiḥ—by most confidential associates; sevyamānau—being served; smarāmi—I remember.,"I meditate upon Śrī Śrī Rādhā-Govinda-deva, who are seated beneath a kalpa-vṛkṣa tree on an effulgent bejeweled siṁhāsana in the supremely beautiful land of Vṛndāvana, where They are always being served by Their beloved sakhīs, headed by Lalitā and Viśākhā."
6,Maṅgalācaraṇa,0.2,Śrī Prayojanādhideva Vandanā,"śrīmān rāsa-rasārambhī vaṁśīvaṭa-taṭa-sthitaḥ
 karṣan veṇu-svanair gopīr gopīnāthaḥ śriye 'stu naḥ",CC Ādi 1.17,gopī-nāthaḥ—He whose lords are the gopīs; śrīmān—the beautiful; ārambhī—the initiator; rasa—of the conjugal mellow; rāsa—of the rāsa dance; taṭasthitaḥ—situated nearby; vaṁśī-vaṭa—the banyan tree renowned by the name of vaṁśī; karṣan—attracting; gopīḥ—the milkmaids; svanaiḥ—by the sounds; veṇu—of His flute; astu—let Him be; naḥ—ours; śriye—in benediction.,"Śrī Gopīnātha, who originated the transcendental mellow of the rāsa dance, always stands beneath the Vaṁśī-vaṭa tree, attracting all the kiśorī-gopīs with the sound of His flute, thereby showering me with auspiciousness."
7,Maṅgalācaraṇa,0.21,Śrī Tulasī Praṇāma,"vṛndāyai tulasī-devyai priyāyai keśavasya ca
 kṛṣṇa-bhakti-prade devi! satyavatyai namo namaḥ",,vṛndāyai—unto Vṛndā; tulasī-devyai—unto Tulasī Devī; priyāyai—who is dear; keśavasya—to Lord Keśava; ca—and; kṛṣṇa-bhakti—devotional service to Lord Kṛṣṇa; prade—who bestows; devi—O goddess; satya-vatyai—unto Satyavatī or unto the embodiment of the highest truth; namaḥ namaḥ—repeated obeisances.,"I offer praṇāma again and again to Tulasī-devī, who is most dear to Śrī Kṛṣṇa, and is also renowned as Vṛṇdā-devī and Satyavatī. O Devi! You are bestowing kṛṣṇa-bhakti upon all!"
8,Maṅgalācaraṇa,0.22,Śrī Pañca-tattva Praṇāma,"pañca-tattvātmakaṁ kṛṣṇaṁ bhakta-rūpa-svarūpakam
 bhaktāvatāraṁ bhaktākhyaṁ namāmi bhakta-śaktikam",,"pañca-tattva-ātmakam—five transcendental features in one person; kṛṣṇam—unto Lord Kṛṣṇa; bhakta-rūpa—in the form of a devotee (Mahāprabhu); sva-rūpakam—in the expansion of a devotee (Nityānanda); bhakta-avatāram—in the incarnation of a devotee (Advaita); bhakta-ākhyam—known as a devotee (Śrīvāsa); namāmi—I offer my obeisances; bhakta-śaktikam—the embodiment of svarūpa-śakti, the energy of the Lord (Gadādhara).","I offer praṇāma unto Śrī Caitanya Mahāprabhu in His five features as a bhakta, bhakta-rūpa, bhakta-svarūpa, bhakta-avatāra, and bhakta-śakti."
9,Maṅgalācaraṇa,0.23,Śrī Pañca-tattva Mantra,"(jaya) śrī-kṛṣṇa-caitanya prabhu-nityānanda
 śrī-advaita gadādhara śrīvāsādi-gaura-bhakta-vṛnda",,"[jaya— all glories to] śrī kṛṣṇa caitanya— Śrī Kṛṣṇa who has descended as the embodiment of cetana (the living force) and with the mood (bhāva) and golden lustre of Śrīmatī Rādhikā; prabhu-nityānanda— Nityānanda-rāma, the incarnation of Baladeva; śrī advaita—Advaita Ācārya, Sadāśiva, Mahā-Viṣṇu; gadādhara—the incarnation of Śrīmatī Rādhikā; śrīvāsādi- the incarnation of Nārada Muni and all other pure devotees; gaura-bhakta-vṛnda—all the associates and devotees of Śrī Gaurāṅga.","All glories to Śrī Kṛṣṇa Caitanya Mahāprabhu, Nityānanda Prabhu, Advaita Ācārya, Gadādhara Paṇḍita, Śrīvāsa Ṭhākura and all the devotees who follow in their footsteps."
10,Maṅgalācaraṇa,,Śrī Mahā Mantra,"hare kṛṣṇa hare kṛṣṇa kṛṣṇa kṛṣṇa hare hare
 hare rāma hare rāma rāma rāma hare hare",,"hare—Śrīmatī Rādhikā (the personified svarūpa-śakti, the divine energy of the Lord); kṛṣṇa—the all-attractive Vrajendra-nandana Śyāmasundara; rāma—Rādhā-Ramaṇa, the giver of pleasure to Śrī Rādhikā or the reservoir of pleasure.","O Rādhe, O Kṛṣṇa, O Rādhā-Ramaṇa – please bestow upon me loving devotional service unto You."
